Новостройки,Оценка,Автор отзыва,Отзыв,Отзывы очищенные,RuterExtractor,Ключевые слова BERT,Ключевые слова YAKE,Все ключевые слова YAKE,Ключевые слова rake,Ключевые слова RAKE,Ключевые слова_filtered,
Чемпион,Нейтральная,Иван Семенов,"Купил квартиру в этом районе. Немного далековато пешком ходить до магазинов, школ, садиков, остановок. Но хорошие новые детские площадки ,за домом лыжная трасса.",купил квартиру районе немного далековато пешком ходить магазинов школ садиков остановок хорошие новые детские площадки домом лыжная трасса,"лыжная трасса, район, дом","качественных стройматериалов, достопримечательностью подкачали, большинства костромичей, благоустройству количеству, количеству парковочных, предоставляющая коммунальные, квартиру лесопарковой, наилучшие рекомендации, главной достопримечательностью, недочёты благоустройству","['купил квартиру районе', 'домом лыжная трасса', 'далековато пешком ходить', 'пешком ходить магазинов', 'магазинов школ садиков', 'остановок хорошие новые', 'хорошие новые детские', 'новые детские площадки', 'площадки домом лыжная', 'районе немного далековато']","купил квартиру районе, домом лыжная трасса, далековато пешком ходить, пешком ходить магазинов, магазинов школ садиков, остановок хорошие новые, хорошие новые детские, новые детские площадки, площадки домом лыжная, районе немного далековато",купил квартиру районе немного далековато пешком ходить магазинов школ садиков остановок хорошие новые детские площадки домом лыжная трасса,"купил, квартиру, районе, немного, далековато, пешком, ходить, магазинов, школ, садиков, остановок, хорошие, новые, детские, площадки, домом, лыжная, трасса",купил квартиру районе немного далековато пешком ходить магазинов школ садиков остановок хорошие новые детские площадки домом лыжная трасса,
Чемпион,Нейтральная,Ольга Муравьева,"Новый район, далеко находятся автобусные остановки. Рядом пока нет магазинов. Хорошая детская площадка, при этом совсем не предусмотрена зона для автомобилей,
В квартирах автономное отопление, пластиковые окна, застеклен балкон, но неровные полы стены",новый район далеко находятся автобусные остановки рядом пока магазинов хорошая детская площадка предусмотрена зона автомобилей квартирах автономное отопление пластиковые окна застеклен балкон неровные полы стены,"хорошая детская площадка, неровные полы стены, новый район, зона автомобилей, автономное отопление, балкон","предоставляющая коммунальные, достопримечательностью подкачали, качественных стройматериалов, давыдовский непривычно, недочёты благоустройству, невыносимая квартирах, звукопроницаемость ужасная, подключаемой водоснабжению, дополнительного образования, площадки оборудованные","['неровные полы стены', 'магазинов хорошая детская', 'хорошая детская площадка', 'детская площадка предусмотрена', 'предусмотрена зона автомобилей', 'зона автомобилей квартирах', 'квартирах автономное отопление', 'отопление пластиковые окна', 'район далеко находятся', 'находятся автобусные']","неровные полы стены, магазинов хорошая детская, хорошая детская площадка, детская площадка предусмотрена, предусмотрена зона автомобилей, зона автомобилей квартирах, квартирах автономное отопление, отопление пластиковые окна, район далеко находятся, находятся автобусные",новый район далеко находятся автобусные остановки рядом пока магазинов хорошая детская площадка предусмотрена зона автомобилей квартирах автономное отопление пластиковые окна застеклен балкон неровные полы стены,"новый, район, далеко, находятся, автобусные, остановки, рядом, пока, магазинов, хорошая, детская, площадка, предусмотрена, зона, автомобилей, квартирах, автономное, отопление, пластиковые, окна, застеклен, балкон, неровные, полы, стены",новый район далеко находятся автобусные остановки рядом пока магазинов хорошая детская площадка предусмотрена зона автомобилей квартирах автономное отопление пластиковые окна застеклен балкон неровные полы стены,
Чемпион,Негативная,Osipova156000,"Снижаю две звезды за отсутствие детского сада и школы, и ещё одну за отсутствие маршрута по ул. Южной, хотя администрации до транспортной реформы были отправлены письма с просьбой продлить маршруты от Поликлиники 5 до Почты напротив Чемпиона.
 Сдано около 6 домов, проживают более 300 семей! Прочти каждый второй приобрел квартиры в счет мат. капитала, а значит более чем в 150 семей есть хотя бы один ребёнок! Земля под строительство школы и сада выделена на территории Чемпиона, однако строительство даже не началось! Соседние школы переполнены! В 33 гимназии в новом корпусе учатся более 1000 детей. Начальных классов по 10 штук в параллели! Что ещё нужно, что бы начали строить школу в районе?!
Знаете, что Сабянин сказал застройщику в МСК? - Если первый дом ЖК сдашь раньше, чем построишь школу для жителей этого ЖК, то более в этом городе ты ничего не построишь! И что в итоге? Первым объектом была сдана Школа! А у нас что? А у нас пока весь ЖК не построят, видимо, соц объекты строить не будут!!!",снижаю две звезды отсутствие детского сада школы ещё одну отсутствие маршрута ул южной хотя администрации транспортной реформы отправлены письма просьбой продлить маршруты поликлиники почты напротив чемпиона сдано около домов проживают семей прочти каждый второй приобрел квартиры счет мат капитала значит семей хотя ребёнок земля строительство школы сада выделена территории чемпиона однако строительство началось соседние школы переполнены гимназии новом корпусе учатся детей начальных классов штук параллели ещё нужно начали строить школу районе знаете сабянин сказал застройщику мск первый дом жк сдашь раньше построишь школу жителей жк городе построишь итоге первым объектом сдана школа пока весь жк построят видимо соц объекты строить будут,"школа, строительство школы сада, поликлиники почты чемпиона, мат капитала семей, первый дом, отсутствие маршрута, две звезды, ул, строительство, ребёнок, район, параллели, отсутствие, объекты, маршруты, итог, земля, застройщик, город","качественных стройматериалов, достопримечательностью подкачали, предоставляющая коммунальные, звукопроницаемость ужасная, взаимодействие собственниками, главной достопримечательностью, преимущества слышимость, отслаивающейся квартирах, установленным застройщиком, продолжается благоустройством","['администрации транспортной реформы', 'транспортной реформы отправлены', 'отправлены письма просьбой', 'письма просьбой продлить', 'продлить маршруты поликлиники', 'поликлиники почты напротив', 'приобрел квартиры счет', 'счет мат капитала', 'переполнены гимназии новом', 'гимназии новом корпусе']","администрации транспортной реформы, транспортной реформы отправлены, отправлены письма просьбой, письма просьбой продлить, продлить маршруты поликлиники, поликлиники почты напротив, приобрел квартиры счет, счет мат капитала, переполнены гимназии новом, гимназии новом корпусе",снижаю две звезды отсутствие детского сада школы ещё одну отсутствие маршрута ул южной хотя администрации транспортной реформы отправлены письма просьбой продлить маршруты поликлиники почты напротив чемпиона сдано около домов проживают семей прочти каждый второй приобрел квартиры счет мат капитала значит семей хотя ребёнок земля строительство школы сада выделена территории чемпиона однако строительство началось соседние школы переполнены гимназии новом корпусе учатся детей начальных классов штук параллели ещё нужно начали строить школу районе знаете сабянин сказал застройщику мск первый дом жк сдашь раньше построишь школу жителей жк городе построишь итоге первым объектом сдана школа пока весь жк построят видимо соц объекты строить будут,"снижаю, две, звезды, отсутствие, детского, сада, школы, ещё, одну, отсутствие, маршрута, ул, южной, хотя, администрации, транспортной, реформы, отправлены, письма, просьбой, продлить, маршруты, поликлиники, почты, напротив, чемпиона, сдано, около, домов, проживают, семей, прочти, каждый, второй, приобрел, квартиры, счет, мат, капитала, значит, семей, хотя, ребёнок, земля, строительство, школы, сада, выделена, территории, чемпиона, однако, строительство, началось, соседние, школы, переполнены, гимназии, новом, корпусе, учатся, детей, начальных, классов, штук, параллели, ещё, нужно, начали, строить, школу, районе, знаете, сабянин, сказал, застройщику, мск, первый, дом, жк, сдашь, раньше, построишь, школу, жителей, жк, городе, построишь, итоге, первым, объектом, сдана, школа, пока, весь, жк, построят, видимо, соц, объекты, строить, будут",снижаю две звезды отсутствие детского сада школы ещё одну отсутствие маршрута ул южной хотя администрации транспортной реформы отправлены письма просьбой продлить маршруты поликлиники почты напротив чемпиона сдано около домов проживают семей прочти каждый второй приобрел квартиры счет мат капитала значит семей хотя ребёнок земля строительство школы сада выделена территории чемпиона однако строительство началось соседние школы переполнены гимназии новом корпусе учатся детей начальных классов штук параллели ещё нужно начали строить школу районе знаете сабянин сказал застройщику мск первый дом жк сдашь раньше построишь школу жителей жк городе построишь итоге первым объектом сдана школа пока весь жк построят видимо соц объекты строить будут,
Чемпион,Положительная,Денис Канунников,"Отличный новый район, новые камуникации, дворовые территории с парковками и новыми современными детскими площадками.",отличный новый район новые камуникации дворовые территории парковками новыми современными детскими площадками,отличный новый район,"давыдовский непривычно, непривлекательных строений, качественных стройматериалов, невыносимая квартирах, предоставляющая коммунальные, наличием парковочных, наилучшие рекомендации, непрофессиональные люди, камуникации дворовые, планировки трехкомнатных","['отличный новый район', 'современными детскими площадками', 'новый район новые', 'камуникации дворовые территории', 'парковками новыми современными', 'новый', 'район', 'детскими']","отличный новый район, современными детскими площадками, новый район новые, камуникации дворовые территории, парковками новыми современными, новый, район, детскими",отличный новый район новые камуникации дворовые территории парковками новыми современными детскими площадками,"отличный, новый, район, новые, камуникации, дворовые, территории, парковками, новыми, современными, детскими, площадками",отличный новый район новые камуникации дворовые территории парковками новыми современными детскими площадками,
Чемпион,Положительная,Александр Барболин,"Савременный микрорайон! 
Современный дизайн. 
Огромная игровая площадка!",савременный микрорайон современный дизайн огромная игровая площадка,"огромная игровая площадка, современный дизайн, савременный микрорайон","предоставляющая коммунальные, взаимодействие собственниками, качественных стройматериалов, поликлиника всевозможные, предусмотрена организованная, подключаемой водоснабжению, нареканий месторасположение, достопримечательностью подкачали, савременный микрорайон, звукопроницаемость ужасная","['савременный микрорайон современный', 'огромная игровая площадка', 'дизайн огромная', 'микрорайон']","савременный микрорайон современный, огромная игровая площадка, дизайн огромная, микрорайон",савременный микрорайон современный дизайн огромная игровая площадка,"савременный, микрорайон, современный, дизайн, огромная, игровая, площадка",савременный микрорайон современный дизайн огромная игровая площадка,
Чемпион,Положительная,Александр Горшков,"Большой строящийся микрорайон,с множеством домов,как кирпичного, так и панельного типа.находится на окраине города так что свежий воздух обеспечен.",большой строящийся микрорайон множеством домов кирпичного панельного типа находится окраине города свежий воздух обеспечен,свежий воздух,"качественных стройматериалов, достопримечательностью подкачали, большинства костромичей, предоставляющая коммунальные, продолжается благоустройством, дополнительного образования, главной достопримечательностью, недочёты благоустройству, подключаемой водоснабжению, благоустройству количеству","['большой строящийся микрорайон', 'свежий воздух обеспечен', 'микрорайон множеством домов', 'множеством домов кирпичного', 'домов кирпичного панельного', 'панельного типа находится', 'находится окраине города', 'окраине города свежий', 'города свежий воздух', 'большой']","большой строящийся микрорайон, свежий воздух обеспечен, микрорайон множеством домов, множеством домов кирпичного, домов кирпичного панельного, панельного типа находится, находится окраине города, окраине города свежий, города свежий воздух, большой",большой строящийся микрорайон множеством домов кирпичного панельного типа находится окраине города свежий воздух обеспечен,"большой, строящийся, микрорайон, множеством, домов, кирпичного, панельного, типа, находится, окраине, города, свежий, воздух, обеспечен",большой строящийся микрорайон множеством домов кирпичного панельного типа находится окраине города свежий воздух обеспечен,
Чемпион,Положительная,Денис Хмелев,"Отличный новый микрорайон. С развитой инфраструктурой. Надеюсь достроят школу, стадион, садик. Магазины подтянутся.",отличный новый микрорайон развитой инфраструктурой надеюсь достроят школу стадион садик магазины подтянутся,"отличный новый микрорайон, стадион, садик, магазины","качественных стройматериалов, недочёты благоустройству, необходимая инфрастурктура, взаимодействие собственниками, достопримечательностью подкачали, давыдовский непривычно, инфраструктуры находится, наилучшие рекомендации, непосредственной близости, невыносимая квартирах","['отличный новый микрорайон', 'садик магазины подтянутся', 'новый микрорайон развитой', 'развитой инфраструктурой надеюсь', 'надеюсь достроят школу', 'достроят школу стадион', 'стадион садик магазины', 'новый', 'школу', 'садик']","отличный новый микрорайон, садик магазины подтянутся, новый микрорайон развитой, развитой инфраструктурой надеюсь, надеюсь достроят школу, достроят школу стадион, стадион садик магазины, новый, школу, садик",отличный новый микрорайон развитой инфраструктурой надеюсь достроят школу стадион садик магазины подтянутся,"отличный, новый, микрорайон, развитой, инфраструктурой, надеюсь, достроят, школу, стадион, садик, магазины, подтянутся",отличный новый микрорайон развитой инфраструктурой надеюсь достроят школу стадион садик магазины подтянутся,
Чемпион,Положительная,Жанна Коновалова,"Новый район, первые этажи высокие, хорошая звукоизоляция,лоджия на всю длину кв, кухня и комната",новый район первые этажи высокие хорошая звукоизоляция лоджия длину кв кухня комната,"высокие хорошая звукоизоляция, первые этажи, новый район, лоджия, кухня, комната, кв","предоставляющая коммунальные, звукопроницаемость ужасная, качественных стройматериалов, невыносимая квартирах, поликлиника всевозможные, подключаемой водоснабжению, давыдовский непривычно, отслаивающейся квартирах, наилучшие рекомендации, достопримечательностью подкачали","['новый район первые', 'первые этажи высокие', 'этажи высокие хорошая', 'хорошая звукоизоляция лоджия', 'кухня комната', 'лоджия длину', 'длину кв кухня', 'новый', 'район', 'этажи']","новый район первые, первые этажи высокие, этажи высокие хорошая, хорошая звукоизоляция лоджия, кухня комната, лоджия длину, длину кв кухня, новый, район, этажи",новый район первые этажи высокие хорошая звукоизоляция лоджия длину кв кухня комната,"новый, район, первые, этажи, высокие, хорошая, звукоизоляция, лоджия, длину, кв, кухня, комната",новый район первые этажи высокие хорошая звукоизоляция лоджия длину кв кухня комната,
Чемпион,Негативная,Татьяна С.,"Полностью согласна с Натальей Фроловой,но к минусам ещё хочу добавить что живём как на отшибе,хотелось бы поближе какой нибудь магазинчик с продуктами,а также остановки общественного транспорта очень далековато,я понимаю что ещё только всё начинается,но заселившимся уже жильцам от этого не легче , так же хотелось бы чтобы  в районе почты уже сделали пешеходный переход утром дорогу невозможно перейти.",полностью согласна натальей фроловой минусам ещё хочу добавить живём отшибе хотелось поближе магазинчик продуктами также остановки общественного транспорта очень далековато понимаю ещё всё начинается заселившимся жильцам легче хотелось районе почты сделали пешеходный переход утром дорогу невозможно перейти,"пешеходный переход, отшиб, магазинчик","качественных стройматериалов, достопримечательностью подкачали, главной достопримечательностью, подключаемой водоснабжению, предоставляющая коммунальные, звукопроницаемость ужасная, большинства костромичей, соблюдали технологию, отвратительного качества, благоустройству количеству","['полностью согласна натальей', 'дорогу невозможно перейти', 'согласна натальей фроловой', 'хочу добавить живём', 'поближе магазинчик продуктами', 'остановки общественного транспорта', 'начинается заселившимся жильцам', 'районе почты сделали', 'почты сделали пешеходный', 'пешеходный переход утром']","полностью согласна натальей, дорогу невозможно перейти, согласна натальей фроловой, хочу добавить живём, поближе магазинчик продуктами, остановки общественного транспорта, начинается заселившимся жильцам, районе почты сделали, почты сделали пешеходный, пешеходный переход утром",полностью согласна натальей фроловой минусам ещё хочу добавить живём отшибе хотелось поближе магазинчик продуктами также остановки общественного транспорта очень далековато понимаю ещё всё начинается заселившимся жильцам легче хотелось районе почты сделали пешеходный переход утром дорогу невозможно перейти,"полностью, согласна, натальей, фроловой, минусам, ещё, хочу, добавить, живём, отшибе, хотелось, поближе, магазинчик, продуктами, также, остановки, общественного, транспорта, очень, далековато, понимаю, ещё, всё, начинается, заселившимся, жильцам, легче, хотелось, районе, почты, сделали, пешеходный, переход, утром, дорогу, невозможно, перейти",полностью согласна натальей фроловой минусам ещё хочу добавить живём отшибе хотелось поближе магазинчик продуктами также остановки общественного транспорта очень далековато понимаю ещё всё начинается заселившимся жильцам легче хотелось районе почты сделали пешеходный переход утром дорогу невозможно перейти,
Чемпион,Положительная,Евгений Смирнов,"Хорошее место, новый район, такое ощущение что новом районе Москвы находишься, красивые дома с панорамным остеклением двор выложен плиткой, детская площадка",хорошее место новый район такое ощущение новом районе москвы находишься красивые дома панорамным остеклением двор выложен плиткой детская площадка,"хорошее место, новый район, красивые дом, детская площадка, ощущение, двор","качественных стройматериалов, предоставляющая коммунальные, достопримечательностью подкачали, давыдовский непривычно, невыносимая квартирах, наилучшие рекомендации, нареканий месторасположение, большинства костромичей, недочёты благоустройству, технологии неряшливое","['хорошее место новый', 'плиткой детская площадка', 'место новый район', 'новом районе москвы', 'районе москвы находишься', 'находишься красивые дома', 'красивые дома панорамным', 'дома панорамным остеклением', 'остеклением двор выложен', 'выложен плиткой детская']","хорошее место новый, плиткой детская площадка, место новый район, новом районе москвы, районе москвы находишься, находишься красивые дома, красивые дома панорамным, дома панорамным остеклением, остеклением двор выложен, выложен плиткой детская",хорошее место новый район такое ощущение новом районе москвы находишься красивые дома панорамным остеклением двор выложен плиткой детская площадка,"хорошее, место, новый, район, такое, ощущение, новом, районе, москвы, находишься, красивые, дома, панорамным, остеклением, двор, выложен, плиткой, детская, площадка",хорошее место новый район такое ощущение новом районе москвы находишься красивые дома панорамным остеклением двор выложен плиткой детская площадка,
Чемпион,Положительная,Андрей Мулюкин,Хорош уютный микрорайон,хорош уютный микрорайон,уютный микрорайон,"хороший микрорайон, микрорайон хорошие, микрорайон хорошей, хорошей инфраструктурой, хорошие планировки, хороший современный, привыкать хорошему, хорошие минус, микрорайон хочется, хорошие квартиры","['хорош уютный микрорайон', 'хорош', 'уютный']","хорош уютный микрорайон, хорош, уютный",хорош уютный микрорайон,"хорош, уютный, микрорайон",хорош уютный микрорайон,
Чемпион,Положительная,К,Отличный современный район. Рядом лыжная трасса. Качество домов одно из самых лучших в городе,отличный современный район рядом лыжная трасса качество домов одно самых лучших городе,"отличный современный район, лыжная трасса, качество домов","предоставляющая коммунальные, достопримечательностью подкачали, качественных стройматериалов, главной достопримечательностью, дополнительного образования, отслаивающейся квартирах, достопримечательности музеи, звукопроницаемость ужасная, продолжается благоустройством, камуникации дворовые","['отличный современный район', 'самых лучших городе', 'лыжная трасса качество', 'качество домов одно', 'домов одно самых', 'район рядом лыжная', 'район', 'одно']","отличный современный район, самых лучших городе, лыжная трасса качество, качество домов одно, домов одно самых, район рядом лыжная, район, одно",отличный современный район рядом лыжная трасса качество домов одно самых лучших городе,"отличный, современный, район, рядом, лыжная, трасса, качество, домов, одно, самых, лучших, городе",отличный современный район рядом лыжная трасса качество домов одно самых лучших городе,
Новый город,Положительная,Алексей Тищенко,"Отличный ЖК чистые ухоженные дворы, нравиться что двор закрыт от дороги, хорошие площадки для детей. Удобная инфраструктура",отличный жк чистые ухоженные дворы нравиться двор закрыт дороги хорошие площадки детей удобная инфраструктура,"чистые ухоженные дворы, удобная инфраструктура, двор","достопримечательностью подкачали, предоставляющая коммунальные, главной достопримечательностью, качественных стройматериалов, установленным застройщиком, звукопроницаемость ужасная, красивое живописное, давыдовский непривычно, учреждения дополнительного, подобными застройщиками","['детей удобная инфраструктура', 'чистые ухоженные дворы', 'нравиться двор закрыт', 'двор закрыт дороги', 'дороги хорошие площадки', 'площадки детей удобная', 'отличный жк чистые', 'дворы нравиться', 'двор', 'детей']","детей удобная инфраструктура, чистые ухоженные дворы, нравиться двор закрыт, двор закрыт дороги, дороги хорошие площадки, площадки детей удобная, отличный жк чистые, дворы нравиться, двор, детей",отличный жк чистые ухоженные дворы нравиться двор закрыт дороги хорошие площадки детей удобная инфраструктура,"отличный, жк, чистые, ухоженные, дворы, нравиться, двор, закрыт, дороги, хорошие, площадки, детей, удобная, инфраструктура",отличный жк чистые ухоженные дворы нравиться двор закрыт дороги хорошие площадки детей удобная инфраструктура,
Новый город,Положительная,Любовь,Мне нравится этот район Костромы. Он не похож на другие районы. Детские площадки очень хороши. Правда как всегда мало места для парковки автомобилей. В домах автономное отопление. Это оучшее решение проблемы. Каждый решает сам как греть свой дом. Хороший район.,нравится район костромы похож другие районы детские площадки очень хороши правда мало места парковки автомобилей домах автономное отопление это оучшее решение проблемы каждый решает греть свой дом хороший район,"хороший район, район костромы, автономное отопление, решение, районы, проблемы, дома, дом","качественных стройматериалов, достопримечательностью подкачали, главной достопримечательностью, предоставляющая коммунальные, большинства костромичей, отвратительного качества, дополнительного образования, продолжается благоустройством, благоустройству количеству, подключаемой водоснабжению","['нравится район костромы', 'районы детские площадки', 'места парковки автомобилей', 'автомобилей домах автономное', 'домах автономное отопление', 'решает греть свой', 'костромы похож', 'похож другие районы', 'площадки очень хороши', 'оучшее решение']","нравится район костромы, районы детские площадки, места парковки автомобилей, автомобилей домах автономное, домах автономное отопление, решает греть свой, костромы похож, похож другие районы, площадки очень хороши, оучшее решение",нравится район костромы похож другие районы детские площадки очень хороши правда мало места парковки автомобилей домах автономное отопление это оучшее решение проблемы каждый решает греть свой дом хороший район,"нравится, район, костромы, похож, другие, районы, детские, площадки, очень, хороши, правда, мало, места, парковки, автомобилей, домах, автономное, отопление, это, оучшее, решение, проблемы, каждый, решает, греть, свой, дом, хороший, район",нравится район костромы похож другие районы детские площадки очень хороши правда мало места парковки автомобилей домах автономное отопление это оучшее решение проблемы каждый решает греть свой дом хороший район,
